image_id,crop_type,disease,severity,leaf_color_r,leaf_color_g,leaf_color_b,texture_contrast,texture_homogeneity,lesion_area_pct,image_width,image_height,brightness
237,tomato,mosaic_virus,mild,150.252,159.223,105.619,0.33,0.689,7.11,224,256,138.365
15498,wheat,powdery_mildew,mild,206.603,213.139,195.517,0.257,0.753,19.52,512,224,205.086
7386,potato,late_blight,mild,135.181,109.489,99.406,0.785,0.365,28.58,256,224,114.692
1575,tomato,early_blight,moderate,159.817,120.196,66.623,0.541,0.538,21.87,224,512,115.545
11315,corn,healthy,mild,112.257,184.805,72.082,0.127,0.947,0.84,256,512,123.048
12098,corn,rust,moderate,206.532,134.233,89.235,0.513,0.599,15.96,256,512,143.333
13753,corn,healthy,mild,102.689,175.303,67.8,0.191,0.888,0.01,256,224,115.264
1415,tomato,mosaic_virus,mild,155.621,190.59,88.494,0.257,0.808,8.3,512,512,144.902
9521,potato,healthy,severe,88.142,189.56,91.579,0.13,0.928,1.61,512,224,123.094
12298,corn,healthy,moderate,80.707,175.846,75.232,0.284,0.736,1.21,256,256,110.595
22265,grape,black_rot,mild,88.704,88.967,51.387,0.777,0.385,31.6,224,256,76.353
2233,tomato,healthy,mild,85.594,141.377,98.435,0.248,0.827,0.85,224,224,108.469
19016,wheat,septoria,moderate,168.773,142.986,115.359,0.752,0.441,25.73,224,512,142.373
11753,corn,healthy,mild,117.904,187.059,94.96,0.147,0.923,0.24,224,224,133.308
20602,grape,black_rot,mild,83.47,59.191,56.803,0.611,0.521,35.83,256,256,66.488
10058,corn,powdery_mildew,mild,211.106,206.781,194.327,0.296,0.726,27.83,512,512,204.071
16928,wheat,healthy,severe,85.58,143.642,68.643,0.226,0.81,2.69,224,512,99.288
21465,grape,powdery_mildew,moderate,234.547,198.885,221.459,0.307,0.709,30.36,224,224,218.297
13880,corn,rust,moderate,211.345,152.265,65.739,0.773,0.391,22.8,512,224,143.116
2306,tomato,early_blight,mild,182.942,145.924,80.387,0.42,0.617,10.76,512,224,136.418
15374,wheat,rust,moderate,216.792,158.893,67.301,0.698,0.482,46.23,224,256,147.662
6540,potato,late_blight,moderate,141.621,101.436,60.554,0.637,0.454,46.5,512,224,101.204
17743,wheat,septoria,moderate,187.331,158.955,115.755,0.76,0.376,38.37,224,512,154.014
6609,potato,late_blight,moderate,118.223,107.405,83.113,0.706,0.435,53.94,512,256,102.914
10460,corn,gray_leaf_spot,mild,175.601,142.762,130.958,0.425,0.69,15.66,224,224,149.774
19505,wheat,rust,severe,190.795,162.607,85.276,0.547,0.514,61.4,224,512,146.226
24677,grape,powdery_mildew,moderate,217.183,221.279,219.848,0.22,0.783,55.71,512,512,219.437
4913,tomato,healthy,severe,117.888,153.075,72.532,0.157,0.863,1.25,512,256,114.498
14581,corn,powdery_mildew,severe,235.857,209.918,217.745,0.2,0.876,72.27,256,512,221.173
16274,wheat,rust,severe,216.541,144.583,64.417,0.53,0.61,33.73,512,224,141.847
1171,tomato,leaf_mold,moderate,147.796,100.646,85.201,0.426,0.705,17.5,256,256,111.214
13866,corn,healthy,mild,95.722,171.216,99.621,0.123,0.893,0.81,256,224,122.186
8503,potato,early_blight,mild,155.285,125.332,75.881,0.655,0.438,12.87,256,224,118.833
13598,corn,healthy,severe,87.94,141.558,62.663,0.141,0.88,0.72,256,512,97.387
21496,grape,downy_mildew,moderate,154.298,148.665,93.985,0.694,0.491,34.5,512,512,132.316
12303,corn,healthy,mild,106.694,152.155,90.818,0.267,0.819,0.3,512,224,116.556
12011,corn,healthy,mild,89.519,144.544,88.545,0.275,0.765,0.14,224,224,107.536
156,tomato,late_blight,moderate,104.311,92.372,99.984,0.716,0.43,51.92,512,224,98.889
59,tomato,leaf_mold,mild,119.82,137.385,81.157,0.435,0.677,14.62,512,256,112.787
23494,grape,healthy,mild,97.466,167.831,85.114,0.153,0.838,0.67,512,256,116.804
13626,corn,powdery_mildew,severe,207.501,200.912,200.08,0.296,0.764,59.37,512,256,202.831
19365,wheat,rust,severe,229.702,152.018,60.717,0.719,0.401,42.31,256,224,147.479
13775,corn,gray_leaf_spot,mild,177.206,161.025,107.574,0.486,0.569,16.59,256,224,148.602
19517,wheat,powdery_mildew,mild,209.589,198.285,191.818,0.203,0.872,17.31,512,512,199.897
11459,corn,powdery_mildew,mild,222.325,234.48,209.044,0.232,0.798,25.69,224,512,221.95
24927,grape,downy_mildew,moderate,140.792,134.861,96.366,0.479,0.601,45.14,512,224,124.006
24218,grape,powdery_mildew,mild,222.107,224.551,190.397,0.388,0.642,25.97,256,512,212.352
18282,wheat,rust,moderate,212.339,145.867,63.785,0.7,0.43,23.29,256,256,140.664
22239,grape,downy_mildew,severe,134.514,139.12,102.883,0.539,0.599,49.24,256,512,125.506
14351,corn,healthy,mild,105.689,177.374,87.753,0.182,0.83,0.65,256,224,123.605
6898,potato,early_blight,severe,162.499,120.271,81.426,0.645,0.475,40.17,512,256,121.399
3688,tomato,late_blight,mild,148.926,109.002,66.826,0.525,0.577,20.89,224,256,108.251
21464,grape,healthy,mild,113.707,172.231,81.838,0.287,0.817,0.42,224,512,122.592
23005,grape,healthy,moderate,110.186,178.328,72.121,0.228,0.855,1.57,256,512,120.212
18033,wheat,healthy,mild,83.079,188.482,74.307,0.234,0.843,0.46,512,224,115.289
6840,potato,late_blight,moderate,129.091,106.263,79.831,0.647,0.507,33.97,512,256,105.062
6543,potato,healthy,moderate,81.301,153.714,97.102,0.276,0.768,1.08,224,224,110.706
18833,wheat,septoria,mild,198.562,151.672,122.382,0.745,0.37,17.55,512,512,157.539
1569,tomato,late_blight,mild,101.404,107.009,98.883,0.54,0.554,25.26,512,224,102.432
13983,corn,gray_leaf_spot,moderate,178.15,146.24,138.549,0.432,0.638,43.63,256,224,154.313
12998,corn,powdery_mildew,severe,221.799,229.071,228.865,0.329,0.74,66.26,256,224,226.578
1213,tomato,healthy,moderate,85.151,189.051,91.369,0.201,0.837,0.63,512,224,121.857
13551,corn,rust,mild,221.246,137.907,83.066,0.533,0.59,22.27,256,224,147.406
142,tomato,leaf_mold,mild,131.042,120.293,109.533,0.466,0.616,13.38,512,256,120.289
16021,wheat,rust,moderate,202.302,147.436,96.299,0.734,0.385,29.39,256,224,148.679
23037,grape,healthy,moderate,114.439,142.395,82.276,0.204,0.84,0.18,256,224,113.037
5191,potato,healthy,moderate,101.289,186.967,73.589,0.173,0.851,0.24,224,512,120.615
12659,corn,healthy,moderate,113.765,147.025,93.75,0.134,0.908,0.76,256,224,118.18
11936,corn,healthy,severe,111.312,150.445,87.645,0.27,0.784,1.02,256,512,116.467
24675,grape,downy_mildew,moderate,156.987,120.815,124.11,0.679,0.452,50.86,224,256,133.971
24438,grape,healthy,moderate,87.059,167.267,94.513,0.109,0.881,0.01,512,256,116.28
16451,wheat,healthy,mild,118.563,151.828,64.663,0.112,0.862,0.75,256,224,111.685
21479,grape,powdery_mildew,moderate,232.419,196.332,218.896,0.355,0.667,43.94,512,512,215.882
5067,potato,late_blight,mild,144.198,117.219,85.181,0.677,0.438,20.57,512,224,115.533
13982,corn,healthy,moderate,97.633,155.684,78.004,0.216,0.858,0.76,224,224,110.44
24963,grape,powdery_mildew,mild,203.947,225.962,222.877,0.335,0.736,21.45,256,512,217.595
16061,wheat,healthy,severe,115.537,177.688,72.83,0.236,0.805,2.0,256,256,122.018
11005,corn,healthy,moderate,94.849,177.809,98.859,0.292,0.77,0.41,512,224,123.839
17846,wheat,rust,moderate,214.604,157.157,99.077,0.683,0.489,43.93,512,512,156.946
16456,wheat,powdery_mildew,mild,222.548,206.434,219.84,0.253,0.774,33.13,224,256,216.274
7944,potato,healthy,mild,103.735,189.986,61.395,0.232,0.857,0.7,224,512,118.372
11493,corn,gray_leaf_spot,moderate,154.285,160.643,118.336,0.698,0.401,34.95,256,256,144.421
5362,potato,healthy,severe,89.439,172.564,92.052,0.286,0.749,0.02,256,256,118.018
10289,corn,rust,severe,221.695,140.149,70.78,0.652,0.436,68.89,256,512,144.208
1818,tomato,leaf_mold,mild,145.088,133.341,82.189,0.552,0.558,14.99,256,224,120.206
16450,wheat,powdery_mildew,moderate,230.451,222.614,200.387,0.296,0.735,31.31,512,512,217.817
20940,grape,powdery_mildew,severe,239.114,213.298,211.328,0.365,0.694,89.17,256,224,221.247
16934,wheat,healthy,moderate,115.26,177.5,62.941,0.231,0.823,1.35,224,256,118.567
24821,grape,powdery_mildew,moderate,235.861,219.616,225.921,0.225,0.788,54.81,512,512,227.133
18000,wheat,rust,mild,211.643,143.443,62.987,0.758,0.427,9.44,256,256,139.358
1009,tomato,leaf_mold,moderate,130.138,102.16,106.017,0.512,0.603,22.0,224,224,112.772
15181,wheat,healthy,mild,102.733,140.247,89.146,0.293,0.76,0.32,224,512,110.709
3634,tomato,mosaic_virus,mild,152.375,174.203,97.771,0.275,0.802,8.66,256,256,141.45
7910,potato,late_blight,moderate,106.449,114.47,77.361,0.683,0.48,25.68,224,256,99.427
24222,grape,powdery_mildew,mild,211.779,206.03,207.621,0.399,0.661,27.94,224,256,208.477
21472,grape,healthy,mild,99.597,175.359,87.595,0.253,0.83,0.46,512,512,120.85
11185,corn,healthy,mild,111.188,169.223,77.92,0.117,0.956,0.56,256,224,119.444
24072,grape,black_rot,moderate,50.401,71.367,55.166,0.67,0.484,76.96,512,256,58.978
200,tomato,healthy,moderate,103.667,176.761,67.005,0.236,0.817,0.09,256,512,115.811
158,tomato,late_blight,moderate,145.536,82.217,64.966,0.546,0.53,36.29,512,224,97.573
7309,potato,early_blight,mild,180.511,144.381,77.153,0.617,0.46,9.63,256,512,134.015
22578,grape,black_rot,mild,67.189,61.956,85.472,0.792,0.387,27.47,224,224,71.539
17169,wheat,healthy,moderate,95.285,159.674,73.652,0.295,0.718,0.16,256,224,109.537
5061,potato,healthy,mild,81.738,142.663,96.656,0.274,0.774,0.5,256,256,107.019
10087,corn,powdery_mildew,mild,201.274,219.042,229.613,0.349,0.717,23.79,256,256,216.643
18725,wheat,powdery_mildew,mild,230.47,204.116,215.773,0.244,0.812,28.73,224,224,216.786
7862,potato,late_blight,mild,137.285,98.894,69.968,0.54,0.541,21.37,224,512,102.049
1850,tomato,mosaic_virus,mild,130.192,189.092,98.291,0.406,0.675,6.69,512,512,139.192
6230,potato,early_blight,mild,174.673,136.515,55.178,0.641,0.5,5.32,224,256,122.122
9142,potato,late_blight,severe,109.106,107.286,92.699,0.671,0.452,83.05,224,256,103.03
14298,corn,powdery_mildew,moderate,229.957,231.929,226.96,0.389,0.667,42.03,512,256,229.615
13305,corn,healthy,moderate,116.841,174.11,94.164,0.255,0.762,1.53,224,512,128.372
13519,corn,healthy,mild,96.502,173.389,72.245,0.287,0.779,0.51,224,224,114.045
5600,potato,healthy,moderate,111.867,148.716,67.738,0.216,0.872,1.51,224,224,109.44
17525,wheat,healthy,severe,92.605,160.912,65.271,0.164,0.886,1.69,512,224,106.263
13300,corn,rust,moderate,210.463,161.201,91.306,0.707,0.445,41.27,512,256,154.323
11859,corn,gray_leaf_spot,mild,150.231,146.811,105.189,0.525,0.533,10.16,256,224,134.077
16550,wheat,healthy,moderate,98.553,166.115,94.505,0.245,0.783,1.74,256,256,119.724
13877,corn,healthy,mild,99.144,156.435,95.488,0.25,0.826,0.67,224,224,117.022
15129,wheat,powdery_mildew,mild,216.745,208.59,193.874,0.222,0.856,26.16,224,256,206.403
783,tomato,late_blight,moderate,135.231,80.532,60.849,0.728,0.38,33.27,256,224,92.204
304,tomato,healthy,severe,105.004,164.016,63.879,0.141,0.901,2.93,256,224,110.966
18391,wheat,healthy,moderate,109.959,170.186,91.449,0.25,0.793,0.45,256,224,123.865
1915,tomato,healthy,mild,113.295,174.695,86.938,0.134,0.853,0.53,512,224,124.976
275,tomato,late_blight,mild,146.62,80.956,81.662,0.691,0.467,12.67,256,224,103.079
1710,tomato,late_blight,moderate,115.386,114.24,62.79,0.721,0.376,26.39,256,512,97.472
14566,corn,powdery_mildew,mild,236.013,219.539,212.202,0.224,0.846,23.96,256,224,222.585
12181,corn,rust,severe,199.786,153.031,94.968,0.768,0.356,70.3,224,512,149.262
11687,corn,healthy,severe,113.599,144.944,86.912,0.261,0.834,0.04,256,224,115.152
21487,grape,downy_mildew,moderate,130.839,117.385,125.708,0.406,0.715,41.56,512,224,124.644
15162,wheat,healthy,moderate,80.137,182.843,75.572,0.173,0.821,0.83,512,256,112.851
21599,grape,black_rot,mild,62.936,64.729,86.087,0.667,0.423,28.29,256,512,71.251
10833,corn,rust,moderate,208.159,139.374,71.479,0.628,0.519,24.78,512,256,139.671
2521,tomato,mosaic_virus,moderate,134.664,152.944,110.15,0.452,0.659,12.9,224,224,132.586
24840,grape,healthy,mild,83.232,167.46,71.018,0.215,0.839,0.69,224,256,107.237
1000,tomato,early_blight,mild,163.044,133.382,80.589,0.442,0.651,12.34,512,224,125.672
492,tomato,mosaic_virus,moderate,132.195,158.544,93.408,0.461,0.667,7.43,224,224,128.049
23903,grape,powdery_mildew,mild,237.769,229.81,219.48,0.222,0.833,33.01,512,512,229.02
23282,grape,powdery_mildew,mild,207.08,206.521,226.24,0.359,0.696,16.07,512,512,213.28
13283,corn,gray_leaf_spot,moderate,149.181,141.448,119.794,0.408,0.628,20.93,256,224,136.808
5086,potato,healthy,severe,83.595,151.896,63.596,0.295,0.804,0.77,224,256,99.696
9472,potato,healthy,severe,90.948,161.539,75.266,0.283,0.79,2.71,224,256,109.251
4835,tomato,healthy,severe,111.901,151.65,92.084,0.12,0.897,0.55,256,256,118.545
21763,grape,powdery_mildew,moderate,226.53,199.454,203.412,0.309,0.765,42.05,512,512,209.799
1438,tomato,leaf_mold,moderate,120.872,126.332,101.978,0.524,0.533,29.18,224,224,116.394
24785,grape,healthy,mild,81.39,174.789,85.033,0.213,0.862,0.58,256,256,113.737
15741,wheat,powdery_mildew,moderate,219.281,212.537,194.188,0.237,0.816,42.87,512,512,208.669
8561,potato,early_blight,moderate,199.3,138.811,53.711,0.581,0.514,28.07,224,512,130.607
7938,potato,late_blight,moderate,100.858,115.474,89.245,0.6,0.524,43.59,224,224,101.859
9855,potato,early_blight,mild,157.276,152.316,60.078,0.687,0.411,11.02,256,512,123.223
724,tomato,healthy,mild,113.283,173.581,86.89,0.171,0.894,0.83,256,256,124.585
22718,grape,healthy,moderate,91.962,145.829,92.91,0.24,0.764,1.47,512,224,110.234
9082,potato,healthy,mild,82.823,158.216,87.303,0.264,0.763,0.41,512,512,109.447
460,tomato,healthy,mild,91.379,140.815,65.403,0.278,0.728,0.98,224,256,99.199
5237,potato,healthy,moderate,105.771,144.074,90.298,0.217,0.836,1.08,512,224,113.381
4190,tomato,late_blight,moderate,147.079,101.17,81.597,0.756,0.377,32.6,224,512,109.949
17535,wheat,healthy,mild,93.872,177.417,67.941,0.139,0.906,0.53,512,224,113.077
12310,corn,healthy,moderate,86.547,153.611,72.191,0.119,0.865,0.22,512,224,104.116
4655,tomato,early_blight,moderate,170.795,141.922,71.249,0.554,0.541,24.36,256,256,127.989
23003,grape,powdery_mildew,mild,239.67,223.208,222.797,0.383,0.671,28.86,224,224,228.558
12282,corn,rust,severe,210.389,157.333,60.73,0.651,0.521,63.52,512,512,142.817
351,tomato,healthy,moderate,89.636,188.507,62.014,0.145,0.898,0.81,224,224,113.386
19374,wheat,powdery_mildew,moderate,213.621,220.972,193.8,0.221,0.823,58.27,512,512,209.464
14525,corn,rust,mild,195.124,167.353,96.284,0.611,0.537,19.71,224,512,152.92
17038,wheat,healthy,mild,102.734,149.592,99.058,0.261,0.815,0.05,256,512,117.128
12829,corn,gray_leaf_spot,moderate,159.486,152.171,110.085,0.594,0.571,29.32,512,256,140.581
4055,tomato,early_blight,moderate,150.791,143.753,84.066,0.63,0.449,29.38,224,512,126.203
22663,grape,black_rot,mild,73.723,56.492,89.328,0.898,0.288,25.4,224,512,73.181
244,tomato,healthy,mild,110.442,154.604,70.994,0.208,0.8,0.46,512,256,112.013
20874,grape,downy_mildew,moderate,121.678,125.077,95.272,0.664,0.434,31.19,256,256,114.009
9956,potato,late_blight,severe,149.466,99.1,60.322,0.752,0.408,86.8,512,256,102.963
20246,grape,downy_mildew,moderate,158.105,120.833,102.934,0.622,0.474,37.54,224,224,127.291
16402,wheat,powdery_mildew,severe,215.321,229.557,191.878,0.377,0.724,90.73,224,224,212.252
17683,wheat,rust,moderate,217.895,167.567,90.99,0.583,0.563,31.81,512,512,158.817
13661,corn,healthy,moderate,116.936,169.124,80.355,0.112,0.929,0.96,512,512,122.138
23879,grape,healthy,mild,84.447,156.264,84.334,0.125,0.921,0.09,256,224,108.348
18140,wheat,healthy,moderate,80.295,167.344,85.842,0.152,0.894,1.34,512,224,111.16
15062,wheat,septoria,mild,199.105,177.585,112.133,0.79,0.4,20.51,512,256,162.941
6996,potato,healthy,mild,84.857,150.041,62.366,0.292,0.741,0.94,224,224,99.088
6110,potato,early_blight,moderate,197.065,146.42,62.315,0.501,0.63,25.17,512,224,135.267
19229,wheat,powdery_mildew,moderate,215.085,202.569,214.427,0.324,0.744,63.09,512,256,210.694
24730,grape,healthy,mild,87.009,180.404,93.289,0.159,0.887,0.12,512,224,120.234
7115,potato,early_blight,severe,150.929,121.543,80.348,0.4,0.635,25.23,224,512,117.607
20415,grape,powdery_mildew,moderate,204.717,220.092,196.945,0.334,0.705,30.16,512,224,207.251
17019,wheat,powdery_mildew,moderate,200.644,210.749,221.999,0.21,0.84,55.8,256,256,211.131
17197,wheat,septoria,severe,162.331,145.918,122.505,0.68,0.489,36.47,224,224,143.585
6538,potato,healthy,mild,84.912,180.254,92.909,0.265,0.782,0.03,224,224,119.358
3656,tomato,mosaic_virus,severe,150.527,183.209,114.02,0.35,0.711,22.71,256,224,149.252
18901,wheat,powdery_mildew,severe,237.966,224.005,194.215,0.31,0.722,74.86,512,224,218.729
21383,grape,downy_mildew,moderate,128.549,117.965,101.359,0.564,0.545,53.1,224,256,115.958
22991,grape,black_rot,mild,63.993,84.528,65.412,0.833,0.313,20.38,256,512,71.311
9106,potato,healthy,severe,100.512,141.557,68.567,0.214,0.854,0.57,256,512,103.545
23975,grape,downy_mildew,moderate,149.97,130.421,99.552,0.535,0.6,50.76,224,256,126.648
10809,corn,powdery_mildew,moderate,225.318,210.486,216.908,0.316,0.756,55.37,512,256,217.571
13041,corn,healthy,severe,98.942,166.129,74.984,0.168,0.889,2.48,256,224,113.352
15802,wheat,rust,severe,203.932,131.403,69.941,0.694,0.491,37.49,256,256,135.092
15328,wheat,rust,mild,213.76,139.034,64.452,0.556,0.565,20.64,512,224,139.082
18800,wheat,rust,severe,210.508,145.741,91.356,0.566,0.549,41.25,256,224,149.202
6424,potato,late_blight,mild,115.653,107.135,62.567,0.556,0.596,19.1,224,224,95.118
24357,grape,healthy,moderate,115.625,157.19,91.922,0.158,0.841,1.04,512,224,121.579
15036,wheat,rust,mild,218.192,152.458,61.69,0.727,0.456,20.39,224,256,144.113
6173,potato,healthy,moderate,106.858,143.581,78.255,0.105,0.947,1.01,512,224,109.565
6590,potato,late_blight,moderate,144.259,89.46,75.086,0.697,0.451,58.41,512,512,102.935
17498,wheat,rust,mild,200.881,153.734,68.054,0.561,0.504,17.41,512,224,140.89
1523,tomato,late_blight,severe,100.773,110.581,75.045,0.543,0.581,46.47,224,512,95.466
6870,potato,healthy,moderate,116.74,179.443,77.482,0.17,0.852,0.52,512,512,124.555
12855,corn,rust,severe,196.334,153.367,94.82,0.529,0.544,44.47,224,256,148.174
7683,potato,healthy,severe,112.332,189.106,78.476,0.101,0.881,1.97,224,512,126.638
6776,potato,healthy,mild,81.778,189.156,75.731,0.252,0.786,0.85,512,224,115.555
19478,wheat,powdery_mildew,moderate,232.534,206.723,215.791,0.268,0.745,61.45,512,224,218.349
7626,potato,early_blight,severe,188.279,152.687,75.955,0.476,0.631,16.58,512,512,138.974
4761,tomato,late_blight,moderate,129.529,82.149,90.911,0.562,0.596,44.0,256,224,100.863
13065,corn,gray_leaf_spot,severe,167.328,131.684,116.955,0.677,0.496,45.75,256,512,138.656
8263,potato,early_blight,moderate,153.08,124.548,71.461,0.571,0.578,17.24,512,256,116.363
22127,grape,downy_mildew,severe,126.903,130.709,121.473,0.621,0.488,51.03,256,512,126.362
2833,tomato,healthy,mild,81.897,153.571,92.024,0.224,0.861,0.42,256,512,109.164
9838,potato,early_blight,mild,174.736,143.951,61.939,0.528,0.624,8.02,512,512,126.875
18625,wheat,septoria,mild,185.5,153.978,102.957,0.579,0.494,13.28,512,512,147.478
15699,wheat,septoria,moderate,162.186,151.946,108.474,0.504,0.574,35.52,512,256,140.869
20834,grape,downy_mildew,moderate,134.429,143.495,101.512,0.665,0.464,29.88,512,256,126.479
13931,corn,rust,moderate,221.243,137.449,99.039,0.665,0.433,18.2,224,224,152.577
18877,wheat,powdery_mildew,moderate,221.409,198.134,220.236,0.31,0.773,67.08,224,224,213.26
22648,grape,healthy,severe,80.54,159.915,79.275,0.201,0.827,0.72,224,256,106.577
16508,wheat,septoria,mild,173.891,179.186,124.728,0.699,0.418,18.07,224,256,159.268
203,tomato,healthy,moderate,87.619,153.423,86.947,0.221,0.861,0.38,512,512,109.33
10915,corn,healthy,moderate,80.962,159.509,74.853,0.246,0.794,0.82,256,224,105.108
17691,wheat,powdery_mildew,moderate,215.888,218.555,194.716,0.257,0.792,47.07,512,512,209.72
18188,wheat,healthy,mild,97.128,151.185,83.058,0.292,0.738,0.75,224,224,110.457
18377,wheat,rust,mild,201.208,139.708,71.737,0.647,0.454,17.82,224,224,137.551
20521,grape,powdery_mildew,mild,227.321,214.853,226.663,0.386,0.736,30.39,512,512,222.946
1614,tomato,late_blight,moderate,112.933,111.619,91.605,0.627,0.484,26.54,512,512,105.386
4072,tomato,early_blight,mild,176.436,154.333,62.893,0.5,0.551,6.86,512,512,131.221
10892,corn,powdery_mildew,mild,235.352,214.216,194.17,0.288,0.815,24.91,512,224,214.579
854,tomato,late_blight,mild,138.22,115.271,80.074,0.777,0.413,19.3,224,224,111.188
8955,potato,healthy,mild,81.957,158.871,82.936,0.109,0.914,0.64,256,224,107.921
9994,potato,late_blight,mild,120.143,99.966,94.888,0.545,0.565,16.07,256,512,104.999
21529,grape,powdery_mildew,mild,221.022,231.069,223.635,0.264,0.742,26.74,224,224,225.242
12328,corn,rust,severe,217.087,150.026,85.055,0.591,0.501,51.91,512,512,150.723
6730,potato,healthy,mild,94.06,147.41,94.006,0.151,0.907,0.74,512,224,111.825
14666,corn,powdery_mildew,severe,201.817,195.935,218.155,0.24,0.781,77.75,512,224,205.302
10387,corn,healthy,severe,115.947,158.007,69.463,0.276,0.783,1.74,256,256,114.472
21283,grape,healthy,mild,110.318,151.739,91.059,0.233,0.792,0.49,256,512,117.705
10391,corn,healthy,mild,91.672,185.497,93.976,0.158,0.917,0.49,224,256,123.715
12954,corn,healthy,moderate,105.711,168.492,67.168,0.249,0.818,0.37,512,256,113.79
23127,grape,black_rot,severe,70.352,68.262,86.948,0.8,0.385,98.45,224,512,75.187
11739,corn,rust,moderate,220.639,160.3,96.223,0.507,0.573,19.8,256,224,159.054
16132,wheat,healthy,mild,111.826,164.628,94.639,0.122,0.933,0.85,512,224,123.698
8544,potato,late_blight,moderate,116.118,94.936,62.149,0.753,0.413,55.42,224,256,91.068
7174,potato,early_blight,mild,177.183,155.28,89.607,0.522,0.543,9.16,224,512,140.69
23824,grape,healthy,moderate,83.115,171.636,88.473,0.168,0.916,0.09,256,224,114.408
22397,grape,powdery_mildew,mild,231.324,230.115,194.034,0.304,0.766,26.33,224,224,218.491
226,tomato,healthy,mild,113.665,158.994,94.488,0.188,0.843,0.82,512,512,122.382
22951,grape,healthy,mild,108.291,145.716,67.736,0.26,0.774,0.28,512,512,107.248
2270,tomato,leaf_mold,moderate,146.596,114.356,85.617,0.385,0.699,38.74,224,224,115.523
16605,wheat,powdery_mildew,severe,215.398,215.936,223.472,0.235,0.775,78.78,512,512,218.269
2235,tomato,healthy,moderate,90.167,181.62,76.469,0.157,0.837,0.61,512,256,116.085
15306,wheat,rust,mild,194.182,146.401,67.819,0.538,0.564,16.71,256,512,136.134
11680,corn,gray_leaf_spot,moderate,164.079,152.424,137.058,0.531,0.535,28.51,224,224,151.187
11807,corn,healthy,mild,96.094,180.534,86.136,0.242,0.804,0.71,256,512,120.921
5694,potato,late_blight,moderate,110.648,104.809,76.432,0.631,0.538,35.85,224,256,97.296
1901,tomato,healthy,moderate,101.875,146.768,99.205,0.102,0.883,0.84,256,224,115.949
1089,tomato,late_blight,mild,141.736,95.427,81.518,0.563,0.57,18.57,512,256,106.227
11843,corn,rust,moderate,196.703,169.612,80.62,0.77,0.384,23.96,512,256,148.978
13530,corn,rust,severe,194.127,148.197,99.248,0.62,0.486,44.97,256,256,147.191
20313,grape,healthy,severe,82.909,159.181,88.02,0.242,0.757,2.61,512,512,110.037
9140,potato,early_blight,mild,166.05,142.662,79.125,0.483,0.578,5.74,256,512,129.279
16546,wheat,healthy,mild,92.815,170.674,74.285,0.231,0.826,0.5,224,224,112.591
7770,potato,healthy,severe,104.989,183.75,78.315,0.216,0.803,1.36,256,256,122.351
24739,grape,black_rot,moderate,84.05,81.041,65.648,0.84,0.323,68.64,512,256,76.913
